_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
65dab310ed6261510baeb6ae,매물번호 42128470,매물번호 42128470,공용,1인실,54.48㎡,300만원,25만원,경기도 광주시 태전동,일반사업자,옷장\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\nTV\n붙박이장\n화재경보기\n비디오폰\n인터폰\nCCTV\n현관보안,https://www.dabangapp.com/room/65d87315b895245e51fe890b,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab317ed6261510baeb6af,매물번호 42255808,매물번호 42255808,공용,1인실,41.34㎡,1000만원,117만원,서울특별시 강남구 역삼동,일반사업자,벽걸이형\n침대\n옷장\n식탁\n쇼파\n신발장\n냉장고\n세탁기\n싱크대\n가스레인지\n전자레인지\nTV\n붙박이장\n베란다\n무인택배함\n비디오폰\nCCTV,https://www.dabangapp.com/room/65d44d5595fd174c5514ff2f,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab324ed6261510baeb6b0,매물번호 40904885,매물번호 40904885,공용,그 외,48㎡,2000만원,70만원,경기도 남양주시 별내동,일반사업자,벽걸이형\n신발장\n싱크대\n가스레인지\n화재경보기\n비디오폰\n현관보안,https://www.dabangapp.com/room/658009c8c8220b307b9e5c3f,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab32bed6261510baeb6b1,매물번호 41785203,매물번호 41785203,공용,그 외,37㎡,500만원,30만원,서울특별시 중랑구 면목동,일반사업자,싱크대\n방범창,https://www.dabangapp.com/room/65b7301d984eea199c93af84,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab331ed6261510baeb6b2,매물번호 41785203,매물번호 41785203,공용,그 외,37㎡,500만원,30만원,서울특별시 중랑구 면목동,일반사업자,싱크대\n방범창,https://www.dabangapp.com/room/65b8d3f42301f4346e2fb3c5,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab336ed6261510baeb6b3,매물번호 40818423,매물번호 40818423,공용,1인실,13.22㎡,100만원,23만원,서울특별시 금천구 가산동,일반사업자,냉장고\n세탁기\n인덕션\nTV\n비디오폰\n인터폰\n카드키\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/657a7e66bed9504f463454ba,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab33ded6261510baeb6b4,매물번호 41971395,매물번호 41971395,공용,그 외,50.43㎡,1500만원,110만원,"경기도 남양주시 다산동 6020, 1동",일반사업자,천장형\n옷장\n신발장\n냉장고\n세탁기\n샤워부스\n비데\n싱크대\n식기세척기\n인덕션\n전자레인지\n붙박이장\n화재경보기\n인터폰\n카드키\nCCTV\n현관보안,https://www.dabangapp.com/room/65c1d5ea44b4157ce822c472,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab344ed6261510baeb6b5,매물번호 42176046,매물번호 42176046,공용,1인실,23.14㎡,100만원,40만원,경기도 수원시 권선구 곡반정동,일반사업자,벽걸이형\n옷장\n신발장\n냉장고\n세탁기\n싱크대\n가스레인지\nTV\n,https://www.dabangapp.com/room/65cff54a37984f06bc4b3f95,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab34bed6261510baeb6b6,매물번호 41739076,매물번호 41739076,공용,1인실,18㎡,100만원,19만원,서울특별시 관악구 봉천동,일반사업자,벽걸이형\n책상\n옷장\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\n붙박이장\nCCTV\n현관보안,https://www.dabangapp.com/room/65b3548080bf4c40ffc0f231,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab352ed6261510baeb6b7,매물번호 42143393,매물번호 42143393,공용,1인실,23.14㎡,100만원,90만원,서울특별시 강남구 논현동,일반사업자,벽걸이형\n침대\n책상\n옷장\n쇼파\n신발장\n냉장고\n세탁기\n샤워부스\n싱크대\n인덕션\n화재경보기\nCCTV\n현관보안,https://www.dabangapp.com/room/65cdc7a3dee77a3468d5ba08,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab358ed6261510baeb6b8,매물번호 42356521,매물번호 42356521,공용,1인실,26.44㎡,200만원,50만원,서울특별시 관악구 신림동,일반사업자,벽걸이형\n책상\n옷장\n냉장고\n싱크대\n인덕션\n,https://www.dabangapp.com/room/65da10f3f5c66842e12de0c6,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab35fed6261510baeb6b9,매물번호 41950304,매물번호 41950304,공용,그 외,115.7㎡,2000만원,80만원,경기도 안산시 상록구 본오동,일반사업자,신발장\n싱크대\n베란다\n인터폰,https://www.dabangapp.com/room/65c0a0cf52cbfc78cd4af1c2,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab366ed6261510baeb6ba,매물번호 41703416,매물번호 41703416,공용,그 외,21.31㎡,1000만원,70만원,"경기도 하남시 망월동 1099, 1동",일반사업자,\n,https://www.dabangapp.com/room/65b1c35c75cb7d089a01b13d,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab36bed6261510baeb6bb,매물번호 41912256,매물번호 41912256,공용,그 외,39.66㎡,5000만원,30만원,경기도 성남시 수정구 태평동,일반사업자,벽걸이형\n냉장고\n세탁기\n가스레인지\n,https://www.dabangapp.com/room/65bde51adb28fb33db18a5a3,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab372ed6261510baeb6bc,매물번호 42207898,매물번호 42207898,공용,1인실,26.71㎡,100만원,85만원,서울특별시 강남구 역삼동,일반사업자,벽걸이형\n침대\n책상\n옷장\n신발장\n냉장고\n세탁기\n샤워부스\n싱크대\n인덕션\n전자레인지\nTV\n붙박이장\n비디오폰\n인터폰\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/65d2b36e368ef44ca99870e9,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab378ed6261510baeb6bd,매물번호 42193848,매물번호 42193848,공용,1인실,23.14㎡,1000만원,40만원,경기도 부천시 원미구 소사동,일반사업자,벽걸이형\n냉장고\n세탁기\n가스레인지\n,https://www.dabangapp.com/room/65d06bc7a95be97ab6b083e5,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab37fed6261510baeb6be,매물번호 42145607,매물번호 42145607,공용,1인실,19㎡,500만원,35만원,서울특별시 동작구 상도1동,일반사업자,벽걸이형\n책상\n옷장\n냉장고\n세탁기\n싱크대\n인덕션\n붙박이장\n화재경보기\n인터폰\n카드키\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/65cdd9d703b5f9323f96ece6,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab387ed6261510baeb6bf,매물번호 42333480,매물번호 42333480,공용,그 외,47㎡,1500만원,45만원,경기도 화성시 안녕동,일반사업자,\n,https://www.dabangapp.com/room/65d848cb4ad01567b69f0061,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab38fed6261510baeb6c0,매물번호 42330791,매물번호 42330791,공용,그 외,27.63㎡,50만원,75만원,서울특별시 강서구 화곡동,일반사업자,천장형\n신발장\n냉장고\n세탁기\n샤워부스\n싱크대\n인덕션\n화재경보기\n경비원\n비디오폰\n인터폰\n카드키\nCCTV\n사설경비\n현관보안,https://www.dabangapp.com/room/65d838e5a86cf0171a443a7c,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab396ed6261510baeb6c1,매물번호 42186378,매물번호 42186378,공용,그 외,42㎡,1000만원,72만원,경기도 화성시 진안동,일반사업자,벽걸이형\n옷장\n냉장고\n세탁기\n싱크대\n가스레인지\nTV\n화재경보기\n베란다\n,https://www.dabangapp.com/room/65d035323e951d6752570483,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
